target_id	length	eff_length	est_counts	tpm
ENST00000539570	744	558.324	0	0
ENST00000576455	2046	1860.25	2.62037	0.895093
ENST00000510508	915	729.253	0	0
ENST00000474471	1209	1023.25	1	0.621004
ENST00000381700	354	173.829	0	0
ENST00000445946	537	351.609	0	0
ENST00000472572	1086	900.253	0	0
ENST00000420022	462	277.536	4	9.15836
ENST00000432593	318	141.734	0	0
ENST00000553856	396	213.419	13.1199	39.064
ENST00000556126	189	46.2009	4	55.0158
ENST00000483851	960	774.253	0	0
ENST00000558098	1707	1521.25	60.5815	25.3056
ENST00000305831	1890	1704.25	8.30058e-08	3.09494e-08
ENST00000551068	672	486.324	0	0
ENST00000550981	453	268.673	0	0
ENST00000361390	956	770.253	3754.33	3097.25
ENST00000361453	1042	856.253	2925.86	2171.34
ENST00000361624	1542	1356.25	9198.59	4309.81
ENST00000361739	684	498.324	4667.95	5952.41
ENST00000361851	207	56.8412	550.996	6159.75
ENST00000361899	681	495.324	3235.06	4150.23
ENST00000362079	784	598.324	3222	3421.9
ENST00000361227	346	166.476	559	2133.72
ENST00000361335	297	123.549	471	2422.48
ENST00000361381	1378	1192.25	6440	3432.38
ENST00000361567	1812	1626.25	3943	1540.69
ENST00000361681	525	339.713	1431	2676.74
ENST00000361789	1141	955.253	2466	1640.41
ENST00000321039	1313	1127.25	1	0.563711
ENST00000343280	5419	5233.25	0	0
ENST00000427512	5130	4944.25	33.0736	4.25069
ENST00000356584	1799	1613.25	0	0
ENST00000425074	1559	1373.25	7.96692	3.68653
ENST00000415705	563	377.573	0	0
ENST00000450712	587	401.495	0	0
ENST00000319969	996	810.253	0	0
ENST00000291809	1545	1359.25	0	0
ENST00000524372	646	460.324	0	0
ENST00000523882	577	391.535	0	0
ENST00000520540	568	382.573	0	0
ENST00000519310	567	381.573	0	0
ENST00000442920	1857	1671.25	0	0
ENST00000523312	572	386.535	0	0
ENST00000523439	2403	2217.25	0	0
ENST00000517598	1562	1376.25	0	0
ENST00000347466	2221	2035.25	1.40482e-08	4.38613e-09
ENST00000523138	462	277.536	0	0
ENST00000415379	2186	2000.25	0	0
ENST00000521754	561	375.573	0	0
ENST00000221735	2309	2123.25	0	0
ENST00000518999	746	560.324	0	0
ENST00000521137	690	504.324	0	0
ENST00000522346	5542	5356.25	4.65067	0.551737
ENST00000284020	1287	1101.25	0	0
ENST00000424930	2366	2180.25	13.1904	3.84441
ENST00000426954	2327	2141.25	0	0
ENST00000354197	1569	1383.25	0	0
ENST00000427558	714	528.324	1.4438	1.73654
ENST00000332030	494	309.041	0	0
ENST00000282292	2185	1999.25	34.7151	11.0339
ENST00000240719	3962	3776.25	0	0
ENST00000376233	3933	3747.25	26.2743	4.4555
ENST00000344222	3695	3509.25	2.99139	0.541672
ENST00000325134	3599	3413.25	0	0
